sku,nombre,marca,subcategoria,categoria_raw,precio_actual,precio_original,descuento_pct,rating,num_opiniones,seller_raw,promo_raw,product_url,url_categoria,precio_actual_raw,precio_original_raw,descuento_pct_raw,rating_raw,opiniones_raw
10940509,"PortÃ¡til Lenovo Legion Pro 5 16IRX10 16"" Intel Core i9-14900HX 32GB 1TB SSD RTX 5070",Lenovo,PC,PortÃ¡tiles,1699.0,,22.0,4.7,185.0,Vendido y enviado por,Trending,https://www.pccomponentes.com/portatil-lenovo-legion-pro-5-16irx10-16-intel-core-i9-14900hx-32gb-1tb-ssd-rtx-5070,https://www.pccomponentes.com/ordenadores-gaming,1699.0,,22,4.7,185
11018594,"PortÃ¡til HP HyperX OMEN 15-gb0005ns 15.3"" AMD Ryzen 7 260 24GB 1TB SSD RTX 5060 FreeDOS",HP,PC,PortÃ¡tiles,999.0,,33.0,4.8,3.0,Vendido y enviado por,Trending,https://www.pccomponentes.com/portatil-hp-hyperx-omen-15-gb0005ns-153-amd-ryzen-7-260-24gb-1tb-ssd-rtx-5060-freedos,https://www.pccomponentes.com/ordenadores-gaming,999.0,,33,4.8,3
10940510,"PortÃ¡til Lenovo Legion 5 15IRX10 15.1"" OLED Intel Core i7-14700HX 32GB 1TB SSD RTX 5060",Lenovo,PC,PortÃ¡tiles,1499.0,,16.0,4.7,185.0,Vendido y enviado por,Trending,https://www.pccomponentes.com/portatil-lenovo-legion-5-15irx10-151-oled-intel-core-i7-14700hx-32gb-1tb-ssd-rtx-5060,https://www.pccomponentes.com/ordenadores-gaming,1499.0,,16,4.7,185
10881997,"PortÃ¡til HP OMEN 16-ap0003ns 16"" Ryzen AI 7 350 32GB 1TB SSD RTX 5050 Negro Sombra",HP,PC,PortÃ¡tiles,1099.0,,26.0,4.5,345.0,Vendido y enviado por,Trending,https://www.pccomponentes.com/portatil-hp-omen-16-ap0003ns-16-ryzen-ai-7-350-32gb-1tb-ssd-rtx-5050-negro-sombra,https://www.pccomponentes.com/ordenadores-gaming,1099.0,,26,4.5,345
11011240,"Acer Gaming Nitro V 16 AI ANV16-42 16"" AMD Ryzen 7 260 32GB 1TB SSD RTX 5060 Sin sistema operativo",Acer,PC,PortÃ¡tiles,1079.0,,22.0,4.5,75.0,Vendido y enviado por,Trending,https://www.pccomponentes.com/portatil-acer-gaming-nitro-v-16-ai-anv16-42-16-amd-ryzen-7-260-32gb-1tb-ssd-rtx-5060-sin-sistema-operativo,https://www.pccomponentes.com/ordenadores-gaming,1079.0,,22,4.5,75
10881828,PcCom Ready V2 AMD Ryzen 7 5800X / 32GB / 1TB SSD / RTX 5060 Ti 16GB Blanco / Windows 11 Home,PcCom,PC,Sobremesa,1489.0,,33.0,4.5,548.0,Vendido y enviado por,Trending,https://www.pccomponentes.com/pccom-ready-v2-amd-ryzen-7-5800x-32gb-1tb-ssd-rtx-5060-ti-16gb-blanco-windows-11-home,https://www.pccomponentes.com/ordenadores-gaming,1489.0,,33,4.5,548
10917630,"PcCom Elysium Pro 27"" Fast IPS QHD 200Hz 1ms Adaptive Sync",PcCom,Monitores,Monitores,12499.0,,32.0,4.4,945.0,Vendido y enviado por,Aniversario,https://www.pccomponentes.com/pccom-elysium-pro-27-fast-ips-qhd-200hz-1ms-adaptive-sync,https://www.pccomponentes.com/monitores-gaming,124.99,,32,4.4,945
10893932,"Monitor gaming PcCom Elysium 27"" Fast IPS FHD 200Hz Adaptive Sync",PcCom,Monitores,Monitores,10499.0,,27.0,4.6,1645.0,Vendido y enviado por,Aniversario,https://www.pccomponentes.com/monitor-gaming-pccom-elysium-27-fast-ips-fhd-200hz-adaptive-sync,https://www.pccomponentes.com/monitores-gaming,104.99,,27,4.6,1645
10756386,"Alurin CoreVision 100IPSLite 23.8"" FHD 100Hz Freesync",Alurin,Monitores,Monitores,6999.0,,26.0,4.5,939.0,Vendido y enviado por,Aniversario,https://www.pccomponentes.com/alurin-corevision-100ipslite-238-fhd-100hz-freesync,https://www.pccomponentes.com/monitores-gaming,69.99,,26,4.5,939
10877122,"MSI MAG 274QF X24 27"" LED Rapid IPS QHD 240Hz 0.5ms Adaptive Sync",MSI,Monitores,Monitores,169.0,,32.0,4.7,1900.0,Vendido y enviado por,Aniversario,https://www.pccomponentes.com/monitor-msi-mag-274qf-x24-27-led-rapid-ips-qhd-240hz-05ms-adaptive-sync,https://www.pccomponentes.com/monitores-gaming,169.0,,32,4.7,1900
