sku,nombre,marca,subcategoria,categoria_raw,precio_actual_raw,precio_original_raw,descuento_pct_raw,rating_raw,opiniones_raw,url_categoria
11015899,PcCom Ultimate Ryzen 7 9800X3D / 32GB / 2TB M.2 / RTX 5080 / Windows 11 Pro V2,PcCom,PC,Sobremesa,3299,,21,,,https://www.pccomponentes.com/ordenadores-gaming
10917630,"PcCom Elysium Pro 27"" Fast IPS QHD 200Hz 1ms Adaptive Sync",PcCom,Monitores,Monitores,124.99,,32,,,https://www.pccomponentes.com/monitores-gaming
10893932,"Monitor gaming PcCom Elysium 27"" Fast IPS FHD 200Hz Adaptive Sync",PcCom,Monitores,Monitores,104.99,,27,,,https://www.pccomponentes.com/monitores-gaming
10756386,"Alurin CoreVision 100IPSLite 23.8"" FHD 100Hz Freesync",Alurin,Monitores,Monitores,69.99,,26,,,https://www.pccomponentes.com/monitores-gaming
10877122,"MSI MAG 274QF X24 27"" LED Rapid IPS QHD 240Hz 0.5ms Adaptive Sync",MSI,Monitores,Monitores,169,,32,,,https://www.pccomponentes.com/monitores-gaming
10950829,"Monitor MSI MAG 272F X24 27"" FHD 240Hz Rapid IPS HDR Adaptive-Sync AI Vision Antirreflejo",MSI,Monitores,Monitores,109,,42,,,https://www.pccomponentes.com/monitores-gaming
10867508,"AOC Q27G42XE 27"" LED Fast IPS QHD 180Hz Altavoces Adaptive Sync",AOC,Monitores,Monitores,139.9,,22,,,https://www.pccomponentes.com/monitores-gaming
10917629,"PcCom Elysium Pro Monitor gaming 34"" Fast VA WQHD 180Hz Adaptive Sync Altura Regulable Curvo",PcCom,Monitores,Monitores,219.99,,26,,,https://www.pccomponentes.com/monitores-gaming
10899355,"Monitor AOC Q27G42ZE 27"" Fast IPS QHD 240Hz 1ms HDR10 Adaptive Sync",AOC,Monitores,Monitores,169.9,,32,,,https://www.pccomponentes.com/monitores-gaming
10847588,"AOC Q27G4XF 27"" LED Fast IPS QHD 180Hz Regulable en Altura",AOC,Monitores,Monitores,139.99,,29,,,https://www.pccomponentes.com/monitores-gaming
10948830,"Monitor LG Ultragear 27G411A-B 27"" FullHD 144Hz IPS G-SYNC FreeSync HDR10 5ms VESA HDMI DisplayPort",LG,Monitores,Monitores,99,,16,,,https://www.pccomponentes.com/monitores-gaming
10948829,"Monitor LG 24G411A-B.AEU 24"" FullHD 144Hz IPS 1ms G-SYNC FreeSync Gaming",LG,Monitores,Monitores,79,,27,,,https://www.pccomponentes.com/monitores-gaming
10932295,"AOC 24B36X 24"" LED IPS FullHD 144Hz HDR10 Adaptive Sync",AOC,Monitores,Monitores,69.99,,22,,,https://www.pccomponentes.com/monitores-gaming
10964175,"Monitor Alurin CoreVision 100IPSLite 27"" FHD 100Hz Regulable en altura",Alurin,Monitores,Monitores,104.99,,27,,,https://www.pccomponentes.com/monitores-gaming
10977662,"Monitor Asus ROG Strix XG27AQDMGR 26.5"" Quad HD 240Hz OLED 0.03ms G-SYNC FreeSync HDR10",Asus,Monitores,Monitores,459,,9,,,https://www.pccomponentes.com/monitores-gaming
10865388,"PcCom Elysium Monitor gaming 23.6"" VA FHD 180Hz Adaptive Sync Curva",PcCom,Monitores,Monitores,84.99,,39,,,https://www.pccomponentes.com/monitores-gaming
10945100,"Monitor Acer Nitro KG241YX3BIP 23.8"" FHD 200Hz VA FreeSync Premium HDR10",Acer,Monitores,Monitores,78,,21,,,https://www.pccomponentes.com/monitores-gaming
10893931,"Monitor Alurin CoreVision 120IPSLite 24"" FHD 120Hz FreeSync",Alurin,Monitores,Monitores,74.99,,25,,,https://www.pccomponentes.com/monitores-gaming
10975928,"Monitor MSI MAG 274QF E20 27"" WQHD 200Hz IPS Plano VESA DisplayHDR 400 Tiempo de Respuesta 0,5 ms",MSI,Monitores,Monitores,159,,30,,,https://www.pccomponentes.com/monitores-gaming
10869841,"Acer Gaming Nitro VG240YX1bmiipx 23.8"" LED IPS FullHD 200Hz Altavoces FreeSync",Acer,Monitores,Monitores,129.99,,0,,,https://www.pccomponentes.com/monitores-gaming
10633702,"AOC 25G3ZM 24.5"" LED FullHD 240Hz FreeSync Premium",AOC,Monitores,Monitores,89.99,,47,,,https://www.pccomponentes.com/monitores-gaming
10893384,"MSI MAG 244C 23.6"" VA FullHD 180Hz FreeSync Curvo",MSI,Monitores,Monitores,79,,46,,,https://www.pccomponentes.com/monitores-gaming
10934929,"AOC 24G4HRE 23.8"" Fast IPS FHD 200Hz HDR10 Altura Ajustable G-Sync Compatible",AOC,Monitores,Monitores,79.99,,19,,,https://www.pccomponentes.com/monitores-gaming
10886380,"AOC C24G42E 23.6"" Fast VA FullHD 180Hz HDR10 Altavoces Adaptive Sync Curvo",AOC,Monitores,Monitores,79.99,,27,,,https://www.pccomponentes.com/monitores-gaming
10971704,"Monitor LG UltraGear 27G610A-B 27"" QHD 200Hz IPS FreeSync Premium HDR400 1 ms regulable",LG,Monitores,Monitores,189,,13,,,https://www.pccomponentes.com/monitores-gaming
10847164,"MSI MAG 271QPX QD-OLED E2 26.5"" QD-OLED QHD 240Hz 0.03ms HDR400",MSI,Monitores,Monitores,469,,32,,,https://www.pccomponentes.com/monitores-gaming
11015605,"Monitor Acer Nitro KG270P0bi 27"" FullHD 144Hz VA FreeSync 0,5ms",Acer,Monitores,Monitores,89,,25,,,https://www.pccomponentes.com/monitores-gaming
10967279,"Monitor MSI MAG 245F X24 23.8"" FullHD 240Hz Rapid IPS HDR 0,5ms Gaming",MSI,Monitores,Monitores,99,,29,,,https://www.pccomponentes.com/monitores-gaming
