source,product_name,brand,category,subcategory,price,price_original,discount_pct,rating,review_count,popularity,seller,promo_tag,product_url,sku,url_mal_formateada,duplicado_url,p65,p90,price_tier,rank_popularity,top10_threshold,top_10_popularity,q90_review_count
pccomponentes,Microsoft Mando InalÃ¡mbrico Xbox Series/One/PC Pulse Red,Microsoft,Mandos,Mandos,5699.0,,5.0,4.7,1002.0,1002.0,Vendido y enviado por,Aniversario,https://pccomponentes.com/microsoft-mando-inalambrico-xbox-series-one-pc-pulse-red,353700.0,False,False,5999.0,7999.0,baja,6,4,False,1002.0
pccomponentes,Nacon Compact Controller Wired para PS4/PC Rojo,Nacon,Mandos,Mandos,3599.0,,0.0,4.3,898.0,898.0,Vendido y enviado por,Aniversario,https://pccomponentes.com/nacon-compact-controller-wired-para-ps4-pc-rojo,310110.0,False,False,5999.0,7999.0,baja,8,4,False,1002.0
pccomponentes,Mando 8BitDo NEOGEO InalÃ¡mbrico Iori Yagami para Android y PC,8BitDo,Mandos,Mandos,3499.0,,0.0,4.3,898.0,898.0,Vendido y enviado por,Aniversario,https://pccomponentes.com/mando-8bitdo-neogeo-inalambrico-iori-yagami-para-android-y-pc,11041990.0,False,False,5999.0,7999.0,baja,9,4,False,1002.0
pccomponentes,Nacon Compact Controller Wired para PS4/PC Negro,Nacon,Mandos,Mandos,3599.0,,10.0,4.3,898.0,898.0,Vendido y enviado por,Aniversario,https://pccomponentes.com/nacon-compact-controller-wired-para-ps4-pc-negro,143863.0,False,False,5999.0,7999.0,baja,10,4,False,1002.0
pccomponentes,Krom Key Pro Gaming Wired Gamepad para PS3/PC,Krom,Mandos,Mandos,159.0,,27.0,4.2,780.0,780.0,Vendido y enviado por,Aniversario,https://pccomponentes.com/krom-key-pro-gaming-wired-gamepad-para-ps3-pc,144612.0,False,False,5999.0,7999.0,baja,11,4,False,1002.0
pccomponentes,Sony DualSense Edge PS5,Sony,Mandos,Mandos,2169.0,,0.0,4.7,444.0,444.0,Vendido y enviado por,Aniversario,https://pccomponentes.com/sony-dualsense-edge-ps5,10643128.0,False,False,5999.0,7999.0,baja,12,4,False,1002.0
pccomponentes,Microsoft Mando InalÃ¡mbrico Xbox Series/One/PC Negro CarbÃ³n,Microsoft,Mandos,Mandos,5699.0,,5.0,4.6,313.0,313.0,Vendido y enviado por,Aniversario,https://pccomponentes.com/microsoft-mando-inalambrico-xbox-series-one-pc-negro-carbon,10665218.0,False,False,5999.0,7999.0,baja,13,4,False,1002.0
pccomponentes,Microsoft Mando InalÃ¡mbrico Xbox Series/One/PC Blanco,Microsoft,Mandos,Mandos,4999.0,,16.0,4.8,290.0,290.0,Vendido y enviado por,Aniversario,https://pccomponentes.com/microsoft-mando-inalambrico-xbox-series-one-pc-blanco,10665216.0,False,False,5999.0,7999.0,baja,14,4,False,1002.0
pccomponentes,Krom Kayros RGB Mando InalÃ¡mbrico para PC/Switch/Android,Krom,Mandos,Mandos,2999.0,,24.0,4.3,262.0,262.0,Vendido y enviado por,Aniversario,https://pccomponentes.com/krom-kayros-rgb-mando-inalambrico-para-pc-switch-android,10575309.0,False,False,5999.0,7999.0,baja,15,4,False,1002.0
pccomponentes,Gamepad Krom Kexal Bluetooth/USB Multi-Plataforma 23 Botones Negro/Rojo/Blanco,Krom,Mandos,Mandos,2399.0,,31.0,4.3,262.0,262.0,Vendido y enviado por,Aniversario,https://pccomponentes.com/gamepad-krom-kexal-bluetooth-usb-multi-plataforma-23-botones-negro-rojo-blanco,10927199.0,False,False,5999.0,7999.0,baja,16,4,False,1002.0
